id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
11,tt0076759,12.037933,11000000,775398007,Star Wars,Mark Hamill|Harrison Ford|Carrie Fisher|Peter Cushing|Alec Guinness,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,George Lucas,"A long time ago in a galaxy far, far away...",android|galaxy|hermit|death star|lightsaber,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,121,Adventure|Action|Science Fiction,Lucasfilm|Twentieth Century Fox Film Corporation,3/20/77,4428,7.9,1977,39575591.3582738,2789712242.27745,764398007
140607,tt2488496,11.173104,200000000,2068178225,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,http://www.starwars.com/films/star-wars-episode-vii,J.J. Abrams,Every generation has a story.,android|spaceship|jedi|space opera|3d,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",136,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182,1868178225
12230,tt0055254,2.631987,4000000,215880014,One Hundred and One Dalmatians,Rod Taylor|J. Pat O'Malley|Betty Lou Gerson|Martha Wentworth|Ben Wright,,Clyde Geronimi|Hamilton Luske|Wolfgang Reitherman,The Canine Caper of the Century,puppy|animation|dog|dalmatian,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.",79,Adventure|Animation|Comedy|Family,Walt Disney Productions,1/25/61,913,6.6,1961,29179444.8318826,1574814739.70476,211880014
168259,tt2820852,9.335014,190000000,1506249360,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,http://www.furious7.com/,James Wan,Vengeance Hits Home,car race|speed|revenge|suspense|car,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,137,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052,1316249360
68721,tt1300854,4.946136,200000000,1215439994,Iron Man 3,Robert Downey Jr.|Gwyneth Paltrow|Guy Pearce|Don Cheadle|Ben Kingsley,http://marvel.com/ironman3,Shane Black,Unleash the power behind the armor.,terrorist|war on terror|tennessee|malibu|marvel comic,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",130,Action|Adventure|Science Fiction,Marvel Studios,4/18/13,6882,6.9,2013,187206670.548084,1137692372.63862,1015439994
840,tt0075860,1.104816,20000000,303788635,Close Encounters of the Third Kind,Richard Dreyfuss|FranÃ§ois Truffaut|Teri Garr|Melinda Dillon|Bob Balaban,,Steven Spielberg,We are not alone.,indiana|obsession|extraterrestrial technology|evacuation|blackout,"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",135,Science Fiction|Drama,Columbia Pictures Corporation|EMI Films|Julia Phillips and Michael Phillips Productions,11/16/77,600,7,1977,71955620.651407,1092964988.91343,283788635
38356,tt1399103,0.760502999999999,195000000,1123746996,Transformers: Dark of the Moon,Shia LaBeouf|John Malkovich|Ken Jeong|Frances McDormand|Josh Duhamel,http://www.transformersmovie.com/,Michael Bay,The invasion we always feared. An enemy we never expected.,moon|spacecraft|traitor|bodyguard|fighter jet,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",154,Action|Science Fiction|Adventure,Paramount Pictures|Di Bonaventura Pictures|Hasbro|Indochina Productions,6/28/11,2456,6.1,2011,189032618.305337,1089358138.29044,928746996
672,tt0295297,6.012584,100000000,876688482,Harry Potter and the Chamber of Secrets,Daniel Radcliffe|Rupert Grint|Emma Watson|Kenneth Branagh|Richard Harris,,Chris Columbus,Hogwarts is back in session.,flying car|witch|magic language|car journey|cutting the cord,"Ignoring threats to his life, Harry returns to Hogwarts to investigate â€“ aided by Ron and Hermione â€“ a mysterious series of attacks.",161,Adventure|Fantasy|Family,1492 Pictures|Warner Bros.|Heyday Films|MIRACLE Productions GmbH & Co. KG,11/13/02,3458,7.2,2002,121226139.362054,1062775600.9604,776688482
1924,tt0078346,1.210324,55000000,300218018,Superman,Marlon Brando|Gene Hackman|Christopher Reeve|Ned Beatty|Jackie Cooper,,Richard Donner,You'll Believe a Man Can Fly!,saving the world|journalist|dc comics|crime fighter|nuclear missile,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane âˆ’ who's in love with Superman. Clark must summon his superhero alter ego when the nefarious Lex Luthor launches a plan to take over the world.",143,Adventure|Fantasy|Action|Science Fiction,Warner Bros.|Dovemead Films|Film Export A.G.,12/14/78,518,6.7,1978,183848538.220272,1003538977.39431,245218018
557,tt0145487,3.241129,139000000,821708551,Spider-Man,Tobey Maguire|Willem Dafoe|Kirsten Dunst|James Franco|Cliff Robertson,http://www.sonypictures.com/movies/spider-man/,Sam Raimi,With great power comes great responsibility.,loss of lover|spider|thanksgiving|bad boss|hostility,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.",121,Fantasy|Action,Columbia Pictures|Marvel Enterprises,5/1/02,3170,6.6,2002,168504333.713256,996125553.18518,682708551
